date,day_of_week,is_weekend,is_exam_week,sleep_hours,social_media_hours,study_app_hours,class_hours,energy_self_log,focus_hours,prev_day_focus_hours,rolling_3day_focus_avg,high_productivity_day
2026-01-01,Thursday,0,0,8.09,3.36,0.74,5.27,1.9,1.19,1.2208,1.2208,1
2026-01-02,Friday,0,0,6.16,3.05,1.51,4.9,1.8,0.0,1.19,1.19,0
2026-01-03,Saturday,1,0,7.45,4.37,2.94,0.0,3.8,0.77,0.0,0.595,0
2026-01-04,Sunday,1,0,9.56,4.84,2.16,0.0,2.8,0.85,0.77,0.6533333333333333,0
2026-01-05,Monday,0,0,6.91,1.83,1.67,2.82,2.9,1.32,0.85,0.54,1
2026-01-06,Tuesday,0,0,6.71,1.9,1.79,5.05,2.0,0.09,1.32,0.98,0
2026-01-07,Wednesday,0,0,7.11,1.63,3.56,4.32,2.5,1.24,0.09,0.7533333333333333,1
2026-01-08,Thursday,0,0,6.57,2.1,0.33,6.02,3.1,0.06,1.24,0.8833333333333333,0
2026-01-09,Friday,0,0,7.74,1.76,1.39,5.05,3.4,1.18,0.06,0.4633333333333334,0
2026-01-10,Saturday,1,0,7.43,3.53,2.65,0.0,4.2,1.92,1.18,0.8266666666666667,1
2026-01-11,Sunday,1,0,5.75,3.17,1.63,0.0,3.4,0.0,1.92,1.0533333333333335,0
2026-01-12,Monday,0,0,7.32,2.48,2.97,4.03,2.9,1.56,0.0,1.0333333333333332,1
2026-01-13,Tuesday,0,0,8.74,2.56,1.67,5.53,4.3,1.32,1.56,1.16,1
2026-01-14,Wednesday,0,0,6.52,3.27,2.34,1.54,3.4,1.51,1.32,0.96,1
2026-01-15,Thursday,0,0,6.25,2.97,3.5,4.98,2.5,1.02,1.51,1.4633333333333336,0
2026-01-16,Friday,0,0,7.01,2.76,2.05,5.1,3.1,1.04,1.02,1.2833333333333334,0
2026-01-17,Saturday,1,0,8.37,2.95,1.59,0.0,3.7,1.0,1.04,1.1900000000000002,0
2026-01-18,Sunday,1,0,9.11,4.1,1.37,1.0,3.0,0.0,1.0,1.02,0
2026-01-19,Monday,0,0,4.41,1.94,2.0,4.04,2.1,0.0,0.0,0.68,0
2026-01-20,Tuesday,0,0,7.78,3.17,2.33,2.24,5.0,1.64,0.0,0.3333333333333333,1
2026-01-21,Wednesday,0,0,7.49,1.45,1.99,5.0,3.2,2.18,1.64,0.5466666666666666,1
2026-01-22,Thursday,0,0,8.17,1.56,2.68,4.97,3.5,1.53,2.18,1.2733333333333334,1
2026-01-23,Friday,0,0,8.33,2.78,0.57,4.21,3.9,1.24,1.53,1.7833333333333332,1
2026-01-24,Saturday,1,0,7.39,3.94,3.2,1.0,4.6,0.91,1.24,1.6500000000000001,0
2026-01-25,Sunday,1,0,7.07,3.27,0.85,0.0,2.1,0.0,0.91,1.2266666666666666,0
2026-01-26,Monday,0,0,5.97,3.47,1.32,3.27,3.6,0.0,0.0,0.7166666666666665,0
2026-01-27,Tuesday,0,0,7.38,1.99,0.56,5.06,2.1,0.0,0.0,0.3033333333333332,0
2026-01-28,Wednesday,0,0,6.34,2.64,1.56,4.35,1.8,1.01,0.0,0.0,0
2026-01-29,Thursday,0,0,5.92,3.34,2.12,4.67,3.2,0.0,1.01,0.3366666666666665,0
2026-01-30,Friday,0,1,6.87,1.34,4.97,4.32,2.9,3.32,0.0,0.3366666666666665,1
2026-01-31,Saturday,1,1,5.81,3.2,2.45,0.0,1.3,0.89,3.32,1.4433333333333331,0
2026-02-01,Sunday,1,1,5.98,2.8,2.87,0.0,1.7,1.04,0.89,1.4033333333333333,0
2026-02-02,Monday,0,1,6.17,2.1,5.71,4.77,4.3,4.43,1.04,1.75,1
2026-02-03,Tuesday,0,1,6.08,1.28,3.46,4.18,2.7,3.7,4.43,2.1199999999999997,1
2026-02-04,Wednesday,0,1,5.51,2.47,5.69,3.9,2.5,4.8,3.7,3.0566666666666666,1
2026-02-05,Thursday,0,1,8.87,1.76,4.78,6.35,4.0,6.67,4.8,4.31,1
2026-02-06,Friday,0,0,7.55,3.22,1.17,4.75,3.7,2.39,6.67,5.056666666666666,1
2026-02-07,Saturday,1,0,8.52,4.01,0.58,0.0,4.1,0.0,2.39,4.62,0
2026-02-08,Sunday,1,0,6.36,3.78,1.16,0.0,2.1,0.0,0.0,3.0199999999999996,0
2026-02-09,Monday,0,0,5.99,3.4,1.98,2.44,2.1,0.58,0.0,0.7966666666666664,0
2026-02-10,Tuesday,0,0,7.4,2.44,0.23,6.17,4.8,1.59,0.58,0.19333333333333302,1
2026-02-11,Wednesday,0,0,6.45,2.77,2.39,2.67,3.2,1.73,1.59,0.723333333333333,1
2026-02-12,Thursday,0,0,7.69,1.72,1.31,5.45,3.9,0.15,1.73,1.2999999999999998,0
2026-02-13,Friday,0,0,4.79,2.45,1.53,4.14,2.2,0.07,0.15,1.1566666666666665,0
2026-02-14,Saturday,1,0,7.59,3.89,0.43,0.0,1.0,0.0,0.07,0.6499999999999998,0
2026-02-15,Sunday,1,0,6.78,2.69,1.72,0.0,2.9,0.0,0.0,0.07333333333333311,0
